"","NR_CONVENIO","ID_PROPOSTA","SIT_CONVENIO","INSTRUMENTO_ATIVO","IND_OPERA_OBTV","DIA_INIC_VIGENC_CONV","DIA_FIM_VIGENC_CONV","Ano_FIM","DIA_FIM_VIGENC_ORIGINAL_CONV","VL_GLOBAL_CONV","VL_REPASSE_CONV","VL_CONTRAPARTIDA_CONV","VALOR_GLOBAL_ORIGINAL_CONV","VALOR_REPASSE_EMENDA","MUNICIPIO","OBJETO_PROPOSTA","NATUREZA_JURIDICA","NM_PROPONENTE","DESC_ORGAO_SUP","DESC_ORGAO","PORCENT_EMENDA","PORCENT_CONTRAPARTIDA","ATRASO","MESES_ATRASO"
"166",799698,740087,"Prestação de Contas Concluída","NÃO","SIM","31/12/2013","30/11/2017",2015,"26/09/2015",352033.72,341250,10783.72,348450,341250,"RIO DAS FLORES","Reforma e Construção de Cobertura de Quadra Poliesportiva no Distrito de Taboas - Rio das Flores/RJ","Administração Pública Municipal","MUNICIPIO DE RIO DAS FLORES","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",96.94,3.06,"Sim",27
"167",799701,745121,"Prestação de Contas Aprovada com Ressalvas","NÃO","SIM","31/12/2013","30/06/2017",2015,"01/11/2015",315013.22,292500,22513.22,3e+05,292500,"SAO GONCALO","Implantação e Modernização de infra-estrutura Esportiva","Administração Pública Municipal","MUNICIPIO DE SAO GONCALO","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",92.85,7.15,"Sim",20
"168",799714,779959,"Prestação de Contas Aprovada","NÃO","SIM","31/12/2013","20/06/2017",2015,"27/09/2015",336375,292500,43875,NA,292500,"NILOPOLIS","Modernização da Praça da Armada","Administração Pública Municipal","MUNICIPIO DE NILOPOLIS","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",86.96,13.04,"Sim",21
"169",799865,812281,"Prestação de Contas Iniciada Por Antecipação","SIM","SIM","31/12/2013","31/12/2020",2015,"27/09/2015",4074726.27,2570000,1504726.27,2827000,0,"RESENDE","Pavimentação e Drenagem no Município de Resende/RJ","Administração Pública Municipal","MUNICIPIO DE RESENDE","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",0,36.93,"Sim",64
"170",799906,811619,"Em execução","SIM","SIM","31/12/2013","31/12/2020",2017,"30/09/2017",1404710.68,1375710.68,29000,1411200,0,"MENDES","Implantação de Pavimentação Nas Ruas Antonio Alves de Siqueira e Silva,Travessa C, Rua Luiz Fonseca,Travessa Projetada,Rua Vicente Rocha e Rua Arthur Leandro Costa  no Bairro Santa Rita","Administração Pública Municipal","MUNICIPIO DE MENDES","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",0,2.06,"Sim",40
"171",800099,795165,"Convênio Anulado","NÃO","SIM","31/12/2013","01/11/2015",2015,"01/11/2015",1e+06,920000,80000,NA,920000,"SAO PEDRO DA ALDEIA","AMPLIAÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE","Administração Pública Municipal","FUNDO MUNICIPAL DE SAUDE","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",92,8,"Nao",0
"172",800104,819356,"Convênio Anulado","NÃO","SIM","31/12/2013","30/12/2015",2015,"30/12/2015",1020408.16,1e+06,20408.16,NA,1e+06,"MIRACEMA","AMPLIAÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE","Administração Pública Municipal","FUNDO MUNICIPAL DE SAUDE DE MIRACEMA","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",98,2,"Nao",0
"173",800389,755414,"Prestação de Contas Concluída","NÃO","SIM","31/12/2013","01/03/2019",2015,"01/11/2015",1569505.71,585000,984505.71,NA,585000,"MARICA","IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA","Administração Pública Municipal","MUNICIPIO DE MARICA","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",37.27,62.73,"Sim",41
"174",800471,820415,"Convênio Anulado","NÃO","SIM","31/12/2013","01/08/2016",2015,"01/11/2015",1100000,1e+06,1e+05,NA,1e+06,"NITEROI","AMPLIAÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE","Administração Pública Municipal","FUNDO MUNICIPAL DE SAUDE DE NITEROI","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",90.91,9.09,"Sim",9
"175",800472,820439,"Em execução","SIM","SIM","31/12/2013","30/08/2021",2015,"30/12/2015",20802694.67,10521084.58,10281610.09,11436150,0,"CAMPOS DOS GOYTACAZES","CONSTRUÇÃO DE UNIDADE DE HEMATOLOGIA E HEMOTERAPIA","Administração Pública Municipal","FUNDO MUNICIPAL DE SAUDE","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",0,49.42,"Sim",69
"176",800834,860104,"Em execução","SIM","SIM","12/02/2015","31/12/2020",2016,"01/08/2016",640087.5,633750,6337.5,NA,0,"ARMACAO DOS BUZIOS","APOIO A PROJETO DE INFRAESTRUTURA TURÍSTICA - CONSTRUÇÃO DE CENTRO DE FORMAÇÃO E QUALIFICAÇÃO DE MÃO DE OBRA PARA OS SETORES DE GASTRONOMIA, HOTELARIA E TURISMO (HOTEL ESCOLA), 1ª ETAPA.","Administração Pública Municipal","MUNICIPIO DE ARMACAO DE BUZIOS","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,0.99,"Sim",54
"177",800838,858045,"Em execução","SIM","SIM","09/09/2014","31/12/2020",2016,"09/09/2016",9197544.66,7312500,1885044.66,9139779.02,0,"NOVA IGUACU","Apoio a Projetos de Infraestrutura Turística - Construção do Centro de Convenções de Tinguá - 1ª Etapa.","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,20.5,"Sim",52
"178",800918,827926,"Convênio Anulado","NÃO","SIM","18/09/2014","30/04/2019",2016,"18/09/2016",7e+05,682500,17500,NA,0,"CARDOSO MOREIRA","Reforma e reestruturação da Praça Ibrahim Assed.","Administração Pública Municipal","MUNICIPIO DE CARDOSO MOREIRA","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,2.5,"Sim",32
"179",800921,829801,"Convênio Anulado","NÃO","SIM","24/09/2014","01/09/2016",2016,"01/09/2016",2e+06,1840000,160000,NA,0,"TRES RIOS","Construção de um mirante público no Municipio de Três Rios","Administração Pública Municipal","MUNICIPIO DE TRES RIOS","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,8,"Nao",0
"180",800925,836648,"Convênio Anulado","NÃO","SIM","21/10/2014","01/09/2017",2017,"01/09/2017",490000,487500,2500,NA,0,"PARAIBA DO SUL","EXECUÇÃO DE CALÇADAS NO PARQUE SALUTARIS","Administração Pública Municipal","PARAIBA DO SUL PREFEITURA","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,0.51,"Nao",0
"181",800935,838870,"Prestação de Contas em Análise","SIM","SIM","25/08/2014","28/04/2020",2016,"25/09/2016",266981.91,258839.24,8142.67,5e+05,0,"COMENDADOR LEVY GASPARIAN","CONSTRUÇÃO DE DOIS PÓRTICOS","Administração Pública Municipal","MUNICIPIO DE COMENDADOR LEVY GASPARIAN","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,3.05,"Sim",44
"182",801283,798914,"Convênio Anulado","NÃO","SIM","31/12/2014","30/09/2016",2016,"30/09/2016",250000,250000,0,NA,0,"MIGUEL PEREIRA","REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE","Organização da Sociedade Civil","FUNDACAO MIGUEL PEREIRA","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",0,0,"Nao",0
"183",801350,835664,"Convênio Anulado","NÃO","SIM","11/08/2014","11/09/2016",2016,"11/09/2016",483100,483100,0,NA,0,"RIO DAS FLORES","Mobilidade Urbana e Trânsito (abrigos para embarque e desembarque de passageiros do transporte público coletivo urbano).","Administração Pública Municipal","MUNICIPIO DE RIO DAS FLORES","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",0,0,"Nao",0
"184",801475,888527,"Prestação de Contas Aprovada","NÃO","SIM","31/12/2014","31/07/2017",2016,"01/08/2016",742203.27,7e+05,42203.27,707100,0,"NITEROI","Reforma para melhorias e acessibilidade do MAC (Museu de Arte Contemporânea).","Administração Pública Municipal","MUNICIPIO DE NITEROI","MINISTERIO DA CULTURA","MINISTERIO DA CULTURA",0,5.69,"Sim",12
"185",802285,853549,"Prestação de Contas Concluída","NÃO","SIM","24/09/2014","30/11/2018",2016,"24/09/2016",256490.25,253925.25,2565,NA,253925.25,"ANGRA DOS REIS","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – AMPLIAÇÃO DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS","Administração Pública Municipal","MUNICIPIO DE ANGRA DOS REIS","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",99,1,"Sim",27
"186",802294,854125,"Convênio Anulado","NÃO","SIM","15/07/2014","01/03/2016",2016,"01/03/2016",459000,450000,9000,NA,450000,"CABO FRIO","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – CONSTRUÇÃO DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS","Administração Pública Municipal","MUNICIPIO DE CABO FRIO","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",98.04,1.96,"Nao",0
"187",802295,846246,"Prestação de Contas Concluída","NÃO","SIM","05/12/2014","01/08/2017",2016,"01/08/2016",332000,328680,3320,NA,328680,"SAO PEDRO DA ALDEIA","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – CONSTRUÇÃO DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS","Administração Pública Municipal","MUNICIPIO DE SAO PEDRO DA ALDEIA","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",99,1,"Sim",12
"188",802296,840868,"Em execução","SIM","SIM","21/08/2014","31/12/2020",2016,"01/03/2016",332000,328680,3320,NA,328680,"SAO PEDRO DA ALDEIA","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – CONSTRUÇÃO DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS","Administração Pública Municipal","MUNICIPIO DE SAO PEDRO DA ALDEIA","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",99,1,"Sim",59
"189",802297,842595,"Convênio Anulado","NÃO","SIM","30/09/2014","01/03/2017",2016,"01/03/2016",320000,3e+05,20000,NA,3e+05,"CACHOEIRAS DE MACACU","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL ESPECIAL – CONSTRUÇÃO DE CENTRO DIA PARA IDOSOS","Administração Pública Municipal","MUNICIPIO DE CACHOEIRAS DE MACACU","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",93.75,6.25,"Sim",12
"190",802299,836318,"Convênio Anulado","NÃO","SIM","27/08/2014","05/07/2016",2016,"05/07/2016",303000,3e+05,3000,NA,3e+05,"ITALVA","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – CONSTRUÇÃO DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS","Administração Pública Municipal","MUNICIPIO DE ITALVA","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",99.01,0.99,"Nao",0
"191",802302,837011,"Convênio Anulado","NÃO","SIM","18/12/2014","05/07/2016",2016,"05/07/2016",510000,5e+05,10000,NA,5e+05,"SAO JOSE DE UBA","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – CONSTRUÇÃO DE  CRAS","Administração Pública Municipal","MUNICIPIO DE SAO JOSE DE UBA","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",98.04,1.96,"Nao",0
"192",802339,834993,"Em execução","SIM","SIM","18/08/2014","31/12/2020",2016,"18/09/2016",309050.7,250000,59050.7,260000,250000,"PINHEIRAL","ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL ESPECIAL – CONSTRUÇÃO DE ABRIGO PÚBLICO PARA CRIANÇAS E ADOLESCENTES","Administração Pública Municipal","MUNICIPIO DE PINHEIRAL","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",80.89,19.11,"Sim",52
"193",802503,851061,"Convênio Anulado","NÃO","SIM","17/09/2014","09/03/2016",2016,"09/03/2016",1040000,1e+06,40000,NA,1e+06,"PINHEIRAL","Construção de Muro de Contenção na Rua 13 de Maio,no Bairro Palmeiras, Município de Pinheiral RJ","Administração Pública Municipal","MUNICIPIO DE PINHEIRAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",96.15,3.85,"Nao",0
"194",802505,861098,"Cancelado","NÃO","SIM","03/12/2014","07/09/2017",2016,"26/05/2016",1013331.86,1e+06,13331.86,NA,1e+06,"SANTO ANTONIO DE PADUA","Obras de contenção de encostas: Rua Helena Chicralla - Morro da Caixa D'Água - Bairro Gerador Latidude: 21 31 46.27 S Longitude: 42 11' 22.60 O  Rua São João Batista - Bairro Tavares Latitude: 21º 32' 43.56 S Longitude: 42 10' 26.15 O","Administração Pública Municipal","MUNICIPIO DE SANTO ANTONIO DE PADUA","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",98.68,1.32,"Sim",16
"195",802509,847677,"Cancelado","NÃO","SIM","03/09/2014","21/09/2017",2016,"24/02/2016",1100000,1e+06,1e+05,NA,1e+06,"NOVA FRIBURGO","Construção de cortina atirantada e muro de gabião para contenção de encosta na Rua Chico Mendes, no bairro Cordoeira.","Administração Pública Municipal","MUNICIPIO DE NOVA FRIBURGO","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",90.91,9.09,"Sim",19
"196",802527,854325,"Prestação de Contas Comprovada em Análise","SIM","SIM","24/11/2014","18/05/2019",2016,"23/05/2016",1010000,1e+06,10000,NA,1e+06,"IGUABA GRANDE","Implantação de tubulação de parte do Rio Iguaba entre a Rua Nossa Senhora de Fátima, Rua Paulino Pinto Pinheiro e Rio Salgado em Iguaba Grande/RJ.","Administração Pública Municipal","MUNICIPIO DE IGUABA GRANDE","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",99.01,0.99,"Sim",36
"197",802568,872488,"Convênio Anulado","NÃO","SIM","13/08/2014","13/08/2016",2016,"13/08/2016",510000,5e+05,10000,NA,0,"SANTO ANTONIO DE PADUA","Construção de Uma Quadra Poliesportiva Bairro Cidade Nova","Administração Pública Municipal","MUNICIPIO DE SANTO ANTONIO DE PADUA","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",0,1.96,"Nao",0
"198",802588,874535,"Em execução","SIM","SIM","24/09/2014","01/04/2021",2017,"01/09/2017",618994.77,5e+05,118994.77,525000,0,"ANGRA DOS REIS","Revitalização de área esportiva.","Administração Pública Municipal","MUNICIPIO DE ANGRA DOS REIS","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",0,19.22,"Sim",44
"199",802597,875070,"Em execução","SIM","SIM","24/09/2014","01/04/2021",2017,"01/09/2017",509892.04,5e+05,9892.04,525000,0,"ANGRA DOS REIS","Implantação de uma quadra de tênis","Administração Pública Municipal","MUNICIPIO DE ANGRA DOS REIS","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",0,1.94,"Sim",44
"200",802658,854730,"Convênio Anulado","NÃO","SIM","10/06/2014","01/07/2016",2016,"01/07/2016",1200000,1185400,14600,NA,1185400,"MIRACEMA","Implantação de pavimentação de vias públicas","Administração Pública Municipal","MUNICIPIO DE MIRACEMA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.78,1.22,"Nao",0
"201",802934,863651,"Convênio Anulado","NÃO","SIM","09/12/2014","09/12/2016",2016,"09/12/2016",912000,9e+05,12000,NA,9e+05,"SAO PEDRO DA ALDEIA","Implantação de Melhorias  Sanitárias Domiciliares - MSD no Quilombo Botafogo/Caveira no município de São Pedro da Aldeia/RJ.","Administração Pública Municipal","MUNICIPIO DE SAO PEDRO DA ALDEIA","MINISTERIO DA SAUDE","FUNDACAO NACIONAL DE SAUDE",98.68,1.32,"Nao",0
"202",803060,860330,"Proposta/Plano de Trabalho Aprovado","SIM","SIM","18/03/2014","18/03/2016",2016,"18/03/2016",1036980,987600,49380,NA,987600,"BOM JARDIM","Pavimentação e drenagem das Ruas Getúlio Vargas e Miguel de Carvalho.","Administração Pública Municipal","MUNICIPIO DE BOM JARDIM","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",95.24,4.76,"Nao",0
"203",803067,856958,"Em execução","SIM","SIM","30/12/2014","30/09/2020",2016,"29/01/2016",586000,578154,7846,NA,578154,"CAMBUCI","Obras de pavimentação e drenagem de águas pluviais em vias públicas urbanas do Município de Cambuci","Administração Pública Municipal","MUNICIPIO DE CAMBUCI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.66,1.34,"Sim",57
"204",803096,861328,"Convênio Anulado","NÃO","SIM","01/07/2014","30/08/2019",2015,"31/12/2015",697900,690900,7000,NA,690900,"ITAPERUNA","Pavimentação e Drenagem superficial em paralelepípedo em diversas ruas do Município.","Administração Pública Municipal","MUNICIPIO DE ITAPERUNA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99,1,"Sim",45
"205",803122,856002,"Convênio Anulado","NÃO","SIM","21/10/2014","30/09/2016",2016,"30/09/2016",498031,493100,4931,NA,493100,"PARAIBA DO SUL","Pavimentação na Av. Marechal Castelo Branco","Administração Pública Municipal","PARAIBA DO SUL PREFEITURA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99.01,0.99,"Nao",0
"206",803160,856230,"Proposta/Plano de Trabalho Aprovado","SIM","SIM","30/05/2014","30/05/2015",2015,"30/05/2015",1008000,980677,27323,NA,980677,"SAO GONCALO","Construções de abrigos para embarque e desembarque de passageiros","Administração Pública Municipal","MUNICIPIO DE SAO GONCALO","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",97.29,2.71,"Nao",0
"207",803235,859932,"Convênio Anulado","NÃO","SIM","24/09/2014","24/09/2016",2016,"24/09/2016",847600,839250,8350,NA,839250,"QUATIS","Pavimentação de vias, adequação e construção de calçadas e de abrigos para embarque e desembarque de passageiros do transporte público coletivo, em Quatis, RJ.","Administração Pública Municipal","MUNICIPIO DE QUATIS","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99.01,0.99,"Nao",0
"208",803248,860725,"Convênio Anulado","NÃO","SIM","17/06/2014","01/09/2016",2016,"01/03/2016",1871200,1778800,92400,NA,1778800,"ITABORAI","Pavimentação no Município de Itaboraí.","Administração Pública Municipal","MUNICIPIO DE ITABORAI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",95.06,4.94,"Sim",6
"209",803322,860653,"Em execução","SIM","SIM","23/07/2014","28/09/2020",2016,"23/09/2016",462475.7,295300,167175.7,326780.49,295300,"VASSOURAS","Implantação de Boulevard","Administração Pública Municipal","MUNICIPIO DE VASSOURAS","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",63.85,36.15,"Sim",49
"210",803493,859630,"Em execução","SIM","SIM","29/09/2014","31/12/2020",2016,"01/03/2016",493600,493100,500,NA,493100,"IGUABA GRANDE","Pavimentação das Ruas Colimério Antunes Marinho e Genésio Dias de Oliveira Filho","Administração Pública Municipal","MUNICIPIO DE IGUABA GRANDE","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99.9,0.1,"Sim",59
"211",803528,859578,"Convênio Anulado","NÃO","SIM","04/08/2014","30/03/2018",2016,"04/09/2016",1380940.16,1192097.42,188842.74,1395173.74,1192097.42,"BARRA MANSA","REVITALIZAÇÃO DA AVENIDA BEIRA RIO (Avenidas Argemiro de Paula Coutinho e Presidente Vargas)- PARQUE FLUVIAL URBANO.","Administração Pública Municipal","MUNICIPIO DE BARRA MANSA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",86.33,13.67,"Sim",19
"212",803576,847169,"Convênio Anulado","NÃO","SIM","10/07/2014","10/09/2017",2017,"10/09/2017",391996.2,384310,7686.2,NA,384310,"PARATI","No Condado a intervenção se dará em um conjunto habitacional popular construido a partir de situação de calamidade por enchentes. Os objetos são: a complementação de solução adequada de esgotamento sanitário, a construção de espaço de lazer e a recuperação estrutural e/ou geral de algumas residencias danificadas.","Administração Pública Municipal","MUNICIPIO DE PARATI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.04,1.96,"Nao",0
"213",803577,851362,"Convênio Anulado","NÃO","SIM","10/07/2014","10/09/2017",2017,"10/09/2017",805596,789800,15796,NA,789800,"PARATI","No Ribeirinho a ação objetiva consolidar e qualificar um espaço atualmente residual, de propriedade municipal, como espaço publico, dotando-o de infraestrutura compativel para tal. Especificamente a intervenção se propõe a construir um espaço de lazer (praça). Também a intervenção se dará através de reformas estruturais e/ou gerais em unidades habitacionais em situação de vulnerabilidade e/ou insalubridade.","Administração Pública Municipal","MUNICIPIO DE PARATI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.04,1.96,"Nao",0
"214",803629,855242,"Em execução","SIM","SIM","29/09/2014","31/12/2020",2016,"01/03/2016",493600,493100,500,NA,493100,"IGUABA GRANDE","Pavimentação da Rua Floriano Peixoto","Administração Pública Municipal","MUNICIPIO DE IGUABA GRANDE","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99.9,0.1,"Sim",59
"215",803638,855867,"Convênio Anulado","NÃO","SIM","13/06/2014","13/03/2016",2016,"13/03/2016",398200,394200,4000,NA,394200,"SAO JOAO DE MERITI","IMPLANTAÇÃO DE CALÇADAS","Administração Pública Municipal","MUNICIPIO DE SAO JOAO DE MERITI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99,1,"Nao",0
"216",803681,847485,"Convênio Anulado","NÃO","SIM","18/09/2014","18/09/2017",2016,"18/09/2016",1397067.55,881777,515290.55,NA,881777,"NOVA IGUACU","Obras de infra-estrutura urbana incluindo rede de esgotamento sanitário, drenagem e pavimentação RJ,da  Rua Aline Teixeira de Melo, com 658,00 ml de extensão localizada no Sub  Bairro Jardim Palmares,em Comendador Soares, Nova Iguaçu,  Comendador Soares – Nova Iguaçu – RJ","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",63.12,36.88,"Sim",12
"217",803683,847788,"Convênio Anulado","NÃO","SIM","18/09/2014","18/09/2017",2016,"18/09/2016",2176260.49,1976600,199660.49,NA,1976600,"NOVA IGUACU","Obras de infra-estrutura urbana incluindo rede de esgotamento sanitário, drenagem e pavimentação em ruas do Sub  Bairro Jardim Palmares, em Comendador Soares – Nova Iguaçu – RJ , assim discriminadas: Rua Juracy Coelho com 376,00 ml, Rua Neide de Neide Azevedo Vital com 492,00 ml e Rua Carlos Sotulfo com 142,00 ml, totalizando uma extensão na ordem de 1.010,00 ml,","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",90.83,9.17,"Sim",12
"218",803710,862838,"Convênio Anulado","NÃO","SIM","29/12/2014","04/04/2018",2016,"04/04/2016",498031,493100,4931,NA,493100,"ITALVA","Elaboração  de Projeto  e  execução  de  obras  de contenção de encostas/taludes.","Administração Pública Municipal","MUNICIPIO DE ITALVA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99.01,0.99,"Sim",24
"219",803711,851034,"Proposta/Plano de Trabalho Aprovado","SIM","SIM","03/03/2014","30/12/2015",2015,"30/12/2015",502962,493100,9862,NA,493100,"CORDEIRO","Obras de pavimentação urbana com o principal objetivo o calçamento e drenagem de ruas do Município.","Administração Pública Municipal","MUNICIPIO DE CORDEIRO","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.04,1.96,"Nao",0
"220",803724,863097,"Convênio Anulado","NÃO","SIM","24/07/2014","24/09/2016",2016,"24/09/2016",691591.6,690900,691.6,NA,690900,"RIO CLARO","Infraestrutura Urbana – Pavimentação, sinalização, calçadas e Contenção nas Ruas de Getulândia 5º Distrito de Rio Claro/RJ.","Administração Pública Municipal","MUNICIPIO DE RIO CLARO","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",99.9,0.1,"Nao",0
"221",803731,863230,"Em execução","SIM","SIM","17/06/2014","31/12/2020",2016,"01/03/2016",2e+06,1976600,23400,NA,1976600,"TANGUA","Pavimentação de Diversos Logradouros","Administração Pública Municipal","MUNICIPIO DE TANGUA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.83,1.17,"Sim",59
"222",803733,863255,"Aguardando Prestação de Contas","SIM","SIM","17/06/2014","01/03/2019",2016,"01/03/2016",1e+06,987600,12400,NA,987600,"TANGUA","Construção de passeios e intervenções para acessibilidade.","Administração Pública Municipal","MUNICIPIO DE TANGUA","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",98.76,1.24,"Sim",36
"223",803751,864096,"Prestação de Contas Concluída","NÃO","SIM","12/02/2015","01/08/2018",2016,"01/08/2016",2000586.83,1480700,519886.83,1500000,1480700,"ARMACAO DOS BUZIOS","DRENAGEM, PAVIMENTAÇÃO E CALÇAMENTO","Administração Pública Municipal","MUNICIPIO DE ARMACAO DE BUZIOS","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",74.01,25.99,"Sim",24
"224",803752,851457,"Prestação de Contas Concluída","NÃO","SIM","18/09/2014","30/04/2020",2016,"18/09/2016",365561.89,295300,70261.89,3e+05,295300,"CARDOSO MOREIRA","Implantação de Pavimentação Asfáltica.","Administração Pública Municipal","MUNICIPIO DE CARDOSO MOREIRA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",80.78,19.22,"Sim",44
"225",803790,847769,"Convênio Anulado","NÃO","SIM","18/09/2014","18/09/2017",2016,"18/09/2016",2354292.86,1976600,377692.86,NA,1976600,"NOVA IGUACU","Obras de infra-estrutura urbana incluindo rede de esgotamento sanitário, drenagem e pavimentação das  ruas  Otávio Moreira/ Afonso Dias,do Sub Bairro Jardim Palmares, em Comendador Soares – Nova Iguaçu – RJ , ,totalizando uma extensão na ordem de 975,00 ml.","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",83.96,16.04,"Sim",12
"226",803791,847771,"Convênio Anulado","NÃO","SIM","11/08/2014","11/09/2017",2017,"11/09/2017",2016900,1976600,40300,NA,1976600,"RIO DAS FLORES","Aquisição de Unidades Habitacionais","Administração Pública Municipal","MUNICIPIO DE RIO DAS FLORES","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98,2,"Nao",0
"227",803909,862679,"Proposta/Plano de Trabalho Aprovado","SIM","SIM","20/06/2014","20/06/2016",2016,"20/06/2016",832986.03,690900,142086.03,NA,690900,"QUEIMADOS","Implantação de Pavimentação em vias Públicas Urbanas","Administração Pública Municipal","MUNICIPIO DE QUEIMADOS","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",82.94,17.06,"Nao",0
